LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Speed ( m/s),Time since start in ms 
55.855625,37.480396,176.2746,0,1436
55.855625,37.480396,176.2746,0,1445
55.855625,37.480396,176.2746,0,1455
55.855625,37.480396,176.2746,0,1465
55.855625,37.480396,176.2746,0,1475
55.855625,37.480396,176.2746,0,1485
55.855625,37.480396,176.2746,0,1495
55.855625,37.480396,176.2746,0,1506
55.855625,37.480396,176.2746,0,1515
55.855625,37.480396,176.2746,0,1526
55.855625,37.480396,176.2746,0,1536
55.855625,37.480396,176.2746,0,1545
55.855625,37.480396,176.2746,0,1555
55.855625,37.480396,176.2746,0,1565
55.855625,37.480396,176.2746,0,1575
55.855625,37.480396,176.2746,0,1585
55.855625,37.480396,176.2746,0,1595
55.855625,37.480396,176.2746,0,1605
55.855625,37.480396,176.2746,0,1615
55.855625,37.480396,176.2746,0,1625
55.855625,37.480396,176.2746,0,1636
55.855625,37.480396,176.2746,0,1646
55.855625,37.480396,176.2746,0,1655
55.855625,37.480396,176.2746,0,1665
55.855625,37.480396,176.2746,0,1675
55.855625,37.480396,176.2746,0,1686
55.855625,37.480396,176.2746,0,1696
55.855625,37.480396,176.2746,0,1705
55.855625,37.480396,176.2746,0,1715
55.855625,37.480396,176.2746,0,1725
55.855625,37.480396,176.2746,0,1735
55.855625,37.480396,176.2746,0,1745
55.855625,37.480396,176.2746,0,1755
55.855625,37.480396,176.2746,0,1766
55.855625,37.480396,176.2746,0,1775
55.855625,37.480396,176.2746,0,1786
55.855625,37.480396,176.2746,0,1796
55.855625,37.480396,176.2746,0,1805
55.855625,37.480396,176.2746,0,1816
55.855625,37.480396,176.2746,0,1826
55.855625,37.480396,176.2746,0,1835
55.855625,37.480396,176.2746,0,1846
55.855625,37.480396,176.2746,0,1856
55.855625,37.480396,176.2746,0,1865
55.855625,37.480396,176.2746,0,1875
55.855625,37.480396,176.2746,0,1885
55.855625,37.480396,176.2746,0,1895
55.855625,37.480396,176.2746,0,1905
55.855625,37.480396,176.2746,0,1915
55.855625,37.480396,176.2746,0,1925
55.855625,37.480396,176.2746,0,1935
55.855625,37.480396,176.2746,0,1945
55.855625,37.480396,176.2746,0,1955
55.855625,37.480396,176.2746,0,1965
55.855625,37.480396,176.2746,0,1975
55.855625,37.480396,176.2746,0,1985
55.855625,37.480396,176.2746,0,1995
55.855625,37.480396,176.2746,0,2005
55.855625,37.480396,176.2746,0,2016
55.855625,37.480396,176.2746,0,2025
55.855625,37.480396,176.2746,0,2036
55.855625,37.480396,176.2746,0,2045
55.855625,37.480396,176.2746,0,2055
55.855625,37.480396,176.2746,0,2065
55.855625,37.480396,176.2746,0,2075
55.855625,37.480396,176.2746,0,2086
55.855625,37.480396,176.2746,0,2095
55.855625,37.480396,176.2746,0,2105
55.855625,37.480396,176.2746,0,2115
55.855625,37.480396,176.2746,0,2125
55.855625,37.480396,176.2746,0,2135
55.855625,37.480396,176.2746,0,2145
55.855625,37.480396,176.2746,0,2156
55.855625,37.480396,176.2746,0,2165
55.855625,37.480396,176.2746,0,2175
55.855625,37.480396,176.2746,0,2185
55.855625,37.480396,176.2746,0,2195
55.855625,37.480396,176.2746,0,2205
55.855625,37.480396,176.2746,0,2215
55.855625,37.480396,176.2746,0,2225
55.855625,37.480396,176.2746,0,2236
55.855625,37.480396,176.2746,0,2247
55.855625,37.480396,176.2746,0,2255
55.855625,37.480396,176.2746,0,2265
55.855625,37.480396,176.2746,0,2275
55.855625,37.480396,176.2746,0,2286
55.855625,37.480396,176.2746,0,2295
55.855618,37.48045,178.0868,0,2306
55.855618,37.48045,178.0868,0,2315
55.855618,37.48045,178.0868,0,2325
55.855618,37.48045,178.0868,0,2336
55.855618,37.48045,178.0868,0,2345
55.855618,37.48045,178.0868,0,2355
55.855618,37.48045,178.0868,0,2365
55.855618,37.48045,178.0868,0,2375
55.855618,37.48045,178.0868,0,2385
55.855618,37.48045,178.0868,0,2395
55.855618,37.48045,178.0868,0,2405
55.855618,37.48045,178.0868,0,2416
55.855618,37.48045,178.0868,0,2426
55.855618,37.48045,178.0868,0,2435
55.855618,37.48045,178.0868,0,2445
55.855618,37.48045,178.0868,0,2455
55.855618,37.48045,178.0868,0,2466
55.855618,37.48045,178.0868,0,2475
55.855618,37.48045,178.0868,0,2485
55.855618,37.48045,178.0868,0,2495
55.855618,37.48045,178.0868,0,2506
55.855618,37.48045,178.0868,0,2515
55.855618,37.48045,178.0868,0,2525
55.855618,37.48045,178.0868,0,2536
55.855618,37.48045,178.0868,0,2546
55.855618,37.48045,178.0868,0,2555
55.855618,37.48045,178.0868,0,2565
55.855618,37.48045,178.0868,0,2575
55.855618,37.48045,178.0868,0,2585
55.855618,37.48045,178.0868,0,2595
55.855618,37.48045,178.0868,0,2606
55.855618,37.48045,178.0868,0,2616
55.855618,37.48045,178.0868,0,2625
55.855618,37.48045,178.0868,0,2635
55.855618,37.48045,178.0868,0,2645
55.855618,37.48045,178.0868,0,2655
55.855618,37.48045,178.0868,0,2666
55.855618,37.48045,178.0868,0,2676
55.855618,37.48045,178.0868,0,2686
55.855618,37.48045,178.0868,0,2695
55.855618,37.48045,178.0868,0,2705
55.855618,37.48045,178.0868,0,2715
55.855618,37.48045,178.0868,0,2725
55.855618,37.48045,178.0868,0,2735
55.855618,37.48045,178.0868,0,2745
55.855618,37.48045,178.0868,0,2755
55.855618,37.48045,178.0868,0,2766
55.855618,37.48045,178.0868,0,2775
55.855618,37.48045,178.0868,0,2785
55.855618,37.48045,178.0868,0,2796
55.855618,37.48045,178.0868,0,2806
55.855618,37.48045,178.0868,0,2815
55.855618,37.48045,178.0868,0,2825
55.855618,37.48045,178.0868,0,2835
55.855618,37.48045,178.0868,0,2845
55.855618,37.48045,178.0868,0,2855
55.855618,37.48045,178.0868,0,2865
55.855618,37.48045,178.0868,0,2875
55.855618,37.48045,178.0868,0,2886
55.855618,37.48045,178.0868,0,2895
55.855618,37.48045,178.0868,0,2905
55.855618,37.48045,178.0868,0,2916
55.855618,37.48045,178.0868,0,2925
55.855618,37.48045,178.0868,0,2935
55.855618,37.48045,178.0868,0,2945
55.855618,37.48045,178.0868,0,2955
55.855618,37.48045,178.0868,0,2965
55.855618,37.48045,178.0868,0,2975
55.855618,37.48045,178.0868,0,2986
55.855618,37.48045,178.0868,0,2995
55.855618,37.48045,178.0868,0,3005
55.855618,37.48045,178.0868,0,3015
55.855618,37.48045,178.0868,0,3025
55.855618,37.48045,178.0868,0,3035
55.855618,37.48045,178.0868,0,3046
55.855618,37.48045,178.0868,0,3055
55.855618,37.48045,178.0868,0,3066
55.855618,37.48045,178.0868,0,3075
55.855618,37.48045,178.0868,0,3085
55.855618,37.48045,178.0868,0,3095
55.855618,37.48045,178.0868,0,3105
55.855618,37.48045,178.0868,0,3115
55.855618,37.48045,178.0868,0,3125
55.855618,37.48045,178.0868,0,3135
55.855618,37.48045,178.0868,0,3145
55.85561,37.48048,179.3592,0,3156
55.85561,37.48048,179.3592,0,3165
55.85561,37.48048,179.3592,0,3175
55.85561,37.48048,179.3592,0,3186
55.85561,37.48048,179.3592,0,3195
55.85561,37.48048,179.3592,0,3205
55.85561,37.48048,179.3592,0,3215
55.85561,37.48048,179.3592,0,3225
55.85561,37.48048,179.3592,0,3235
55.85561,37.48048,179.3592,0,3245
55.85561,37.48048,179.3592,0,3255
55.85561,37.48048,179.3592,0,3266
55.85561,37.48048,179.3592,0,3275
55.85561,37.48048,179.3592,0,3285
55.85561,37.48048,179.3592,0,3296
55.85561,37.48048,179.3592,0,3305
55.85561,37.48048,179.3592,0,3316
55.85561,37.48048,179.3592,0,3325
55.85561,37.48048,179.3592,0,3335
55.85561,37.48048,179.3592,0,3345
55.85561,37.48048,179.3592,0,3355
55.85561,37.48048,179.3592,0,3365
55.85561,37.48048,179.3592,0,3375
55.85561,37.48048,179.3592,0,3385
55.85561,37.48048,179.3592,0,3395
55.85561,37.48048,179.3592,0,3405
55.85561,37.48048,179.3592,0,3415
55.85561,37.48048,179.3592,0,3425
55.85561,37.48048,179.3592,0,3436
55.85561,37.48048,179.3592,0,3445
55.85561,37.48048,179.3592,0,3456
55.85561,37.48048,179.3592,0,3465
55.85561,37.48048,179.3592,0,3475
55.85561,37.48048,179.3592,0,3485
55.85561,37.48048,179.3592,0,3495
55.85561,37.48048,179.3592,0,3505
55.85561,37.48048,179.3592,0,3515
55.85561,37.48048,179.3592,0,3525
55.85561,37.48048,179.3592,0,3535
55.85561,37.48048,179.3592,0,3546
55.85561,37.48048,179.3592,0,3555
55.85561,37.48048,179.3592,0,3565
55.85561,37.48048,179.3592,0,3575
55.85561,37.48048,179.3592,0,3585
55.85561,37.48048,179.3592,0,3595
55.85561,37.48048,179.3592,0,3605
55.85561,37.48048,179.3592,0,3615
55.85561,37.48048,179.3592,0,3625
55.85561,37.48048,179.3592,0,3635
55.85561,37.48048,179.3592,0,3645
55.85561,37.48048,179.3592,0,3655
55.85561,37.48048,179.3592,0,3665
55.85561,37.48048,179.3592,0,3676
55.85561,37.48048,179.3592,0,3685
55.85561,37.48048,179.3592,0,3695
55.85561,37.48048,179.3592,0,3706
55.85561,37.48048,179.3592,0,3715
55.85561,37.48048,179.3592,0,3725
55.85561,37.48048,179.3592,0,3735
55.85561,37.48048,179.3592,0,3745
55.85561,37.48048,179.3592,0,3756
55.85561,37.48048,179.3592,0,3766
55.85561,37.48048,179.3592,0,3775
55.85561,37.48048,179.3592,0,3786
55.85561,37.48048,179.3592,0,3795
55.85561,37.48048,179.3592,0,3805
55.85561,37.48048,179.3592,0,3815
55.85561,37.48048,179.3592,0,3825
55.85561,37.48048,179.3592,0,3835
55.85561,37.48048,179.3592,0,3845
55.85561,37.48048,179.3592,0,3855
55.85561,37.48048,179.3592,0,3866
55.85561,37.48048,179.3592,0,3875
55.85561,37.48048,179.3592,0,3885
55.85561,37.48048,179.3592,0,3895
55.85561,37.48048,179.3592,0,3905
55.85561,37.48048,179.3592,0,3916
55.85561,37.48048,179.3592,0,3925
55.85561,37.48048,179.3592,0,3936
55.85561,37.48048,179.3592,0,3945
55.85561,37.48048,179.3592,0,3955
55.85561,37.48048,179.3592,0,3966
55.85561,37.48048,179.3592,0,3975
55.85561,37.48048,179.3592,0,3985
55.85561,37.48048,179.3592,0,3995
55.85561,37.48048,179.3592,0,4006
55.85561,37.48048,179.3592,0,4015
55.85561,37.48048,179.3592,0,4025
55.85561,37.48048,179.3592,0,4036
55.85561,37.48048,179.3592,0,4045
55.85561,37.48048,179.3592,0,4055
