Keuwl Accelerometer Data File
2021-04-25 22-03-49

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.1419893,-0.387873,-0.071828,9.885961,9.893827,2.284990,190.491470
0.1439892,-0.368718,-0.079011,9.890749,9.897935,2.183371,192.094757
0.1459892,-0.361535,-0.081405,9.919480,9.926400,2.139546,192.689407
0.1479890,-0.356747,-0.083800,9.921875,9.928640,2.115258,193.219086
0.1499889,-0.344776,-0.093377,9.933846,9.940267,2.059376,195.154068
0.1519888,-0.313650,-0.090982,9.929058,9.934427,1.883775,196.176193
0.1539886,-0.311256,-0.081405,9.926663,9.931875,1.856251,194.656754
0.1559885,-0.306467,-0.090982,9.926663,9.931809,1.844511,196.534836
0.1579884,-0.318439,-0.093377,9.924269,9.929815,1.915097,196.342880
0.1599883,-0.320833,-0.095771,9.921875,9.927523,1.932696,196.620758
0.1619882,-0.323227,-0.100560,9.897932,9.903719,1.958747,197.281494
0.1639880,-0.323227,-0.098165,9.890749,9.896516,1.956047,196.893723
0.1659878,-0.304073,-0.095771,9.902720,9.907850,1.843768,197.482376
0.1679877,-0.318439,-0.095771,9.914692,9.920266,1.920812,196.738754
0.1699875,-0.313650,-0.105348,9.914692,9.920211,1.911313,198.566055
0.1719873,-0.330410,-0.112531,9.888355,9.894514,2.021682,198.807800
0.1739872,-0.335198,-0.098165,9.888355,9.894522,2.022940,196.323044
0.1759870,-0.335198,-0.095771,9.895537,9.901676,2.017612,195.945404
0.1779868,-0.339987,-0.079011,9.909904,9.916048,2.017127,193.082993
0.1799866,-0.349564,-0.083800,9.902720,9.909243,2.078955,193.480896
0.1819864,-0.375901,-0.083800,9.900327,9.907815,2.227741,192.567444
0.1839862,-0.385478,-0.088588,9.885961,9.893869,2.291064,192.942627
0.1859860,-0.385478,-0.083800,9.895537,9.903398,2.282934,192.264771
0.1879858,-0.390267,-0.098165,9.893144,9.901325,2.329358,194.118927
0.1899856,-0.411815,-0.100560,9.864412,9.873517,2.460766,193.722290
0.1919854,-0.411815,-0.098165,9.871595,9.880670,2.455750,193.407516
0.1939852,-0.411815,-0.081405,9.873989,9.882908,2.434295,191.181747
0.1959849,-0.414210,-0.076617,9.883567,9.892539,2.440398,190.479614
0.1979846,-0.409421,-0.083800,9.893144,9.901966,2.418808,191.567444
0.1999844,-0.416604,-0.100560,9.900327,9.909598,2.478677,193.570435
0.2019841,-0.409421,-0.110137,9.907509,9.916576,2.450403,195.056473
0.2039838,-0.416604,-0.119714,9.929058,9.938516,2.499750,196.032333
0.2059835,-0.428575,-0.129291,9.926663,9.936751,2.582022,196.787308
0.2079834,-0.428575,-0.136474,9.919480,9.929672,2.596160,197.663330
0.2099831,-0.404632,-0.136474,9.914692,9.923883,2.466168,198.638123
0.2119828,-0.387873,-0.126897,9.897932,9.906342,2.360989,198.116058
0.2139826,-0.399844,-0.131685,9.895537,9.904488,2.435983,198.228851
0.2159823,-0.395055,-0.119714,9.909904,9.918497,2.385237,196.858398
0.2179820,-0.378295,-0.112531,9.921875,9.929722,2.277956,196.566071
0.2199818,-0.373507,-0.114925,9.924269,9.931960,2.254985,197.102722
0.2219815,-0.356747,-0.129291,9.900327,9.907596,2.194905,199.921326
0.2239813,-0.351958,-0.129291,9.902720,9.909817,2.168440,200.170654
0.2259810,-0.342381,-0.126897,9.924269,9.930984,2.107100,200.336182
0.2279807,-0.342381,-0.131685,9.926663,9.933439,2.116369,201.037506
0.2299805,-0.330410,-0.124502,9.926663,9.932940,2.037016,200.646988
0.2319802,-0.328016,-0.134079,9.909904,9.916237,2.047844,202.232742
0.2339799,-0.337593,-0.124502,9.905115,9.911649,2.080461,200.243683
0.2359797,-0.366324,-0.100560,9.895537,9.902826,2.198468,195.350143
0.2379795,-0.347170,-0.105348,9.905115,9.911757,2.097698,196.880325
0.2399793,-0.356747,-0.112531,9.900327,9.907392,2.163923,197.507156
0.2419790,-0.366324,-0.100560,9.890749,9.898041,2.199447,195.350143
0.2439787,-0.366324,-0.112531,9.871595,9.879031,2.223168,197.076416
0.2459785,-0.361535,-0.117319,9.876384,9.883695,2.203892,197.978424
0.2479782,-0.368718,-0.110137,9.890749,9.898232,2.228092,196.630951
0.2499779,-0.387873,-0.102954,9.876384,9.884533,2.326751,194.865356
0.2519777,-0.395055,-0.098165,9.873989,9.882377,2.360740,193.954514
0.2539775,-0.392661,-0.100560,9.869201,9.877521,2.351769,194.364578
