Keuwl Accelerometer Data File
2021-04-23 02-18-31

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.1499808,0.010739,0.055891,1.023363,1.024945,3.183215,79.123756
0.1519805,0.012447,0.056135,1.023363,1.024977,3.215768,77.497574
0.1539803,0.016840,0.056623,1.023119,1.024823,3.304523,73.436798
0.1559801,0.018305,0.056379,1.023119,1.024835,3.315879,72.012665
0.1579798,0.020257,0.055647,1.022143,1.023857,3.315761,69.996719
0.1599796,0.022942,0.055647,1.021167,1.022939,3.373188,67.594589
0.1619793,0.023186,0.057355,1.021655,1.023526,3.465206,67.988716
0.1639790,0.023430,0.056135,1.021899,1.023708,3.406570,67.344765
0.1659788,0.026847,0.054670,1.022875,1.024687,3.407662,63.845665
0.1679785,0.028067,0.054182,1.026780,1.028592,3.401049,62.615028
0.1699782,0.027823,0.052474,1.028000,1.029715,3.306656,62.066006
0.1719780,0.026847,0.051742,1.029953,1.031601,3.239242,62.576649
0.1739778,0.025139,0.051498,1.031173,1.032764,3.180816,63.980610
0.1759775,0.025383,0.051498,1.031173,1.032770,3.186780,63.761730
0.1779773,0.024406,0.050765,1.030197,1.031736,3.129628,64.323181
0.1799771,0.023186,0.050765,1.029709,1.031220,3.102361,65.452362
0.1819768,0.022210,0.050033,1.031662,1.033113,3.037315,66.063446
0.1839766,0.019769,0.049057,1.029953,1.031310,2.939648,68.051300
0.1859764,0.017817,0.048813,1.028977,1.030288,2.890899,69.947914
0.1879761,0.012203,0.045884,1.025316,1.026415,2.651366,75.106529
0.1899760,0.009763,0.045396,1.024828,1.025879,2.594274,77.863174
0.1919757,0.009030,0.044664,1.023607,1.024621,2.548910,78.569695
0.1939755,0.007078,0.043688,1.023607,1.024564,2.475674,80.797401
0.1959753,0.005858,0.041491,1.024584,1.025440,2.341928,81.964287
0.1979750,0.004881,0.038562,1.024340,1.025077,2.173038,82.785736
0.1999748,0.003661,0.038074,1.021167,1.021883,2.145118,84.507675
0.2019746,0.002197,0.037342,1.019702,1.020388,2.100961,86.633537
0.2039743,0.001708,0.038562,1.015065,1.015799,2.177896,87.463242
0.2059742,0.000976,0.037830,1.012625,1.013331,2.140278,88.521729
