Keuwl Accelerometer Data File
2021-04-23 02-12-39

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,0.022454,0.026359,1.013357,1.013948,1.957148,49.573921
0.0019998,0.025139,0.027579,1.018482,1.019166,2.098351,47.650688
0.0039996,0.030020,0.030996,1.026780,1.027686,2.406315,45.916653
0.0059993,0.034413,0.033193,1.033126,1.034232,2.649741,43.965893
0.0079991,0.037342,0.033681,1.036055,1.037274,2.778899,42.049221
0.0099988,0.041979,0.037098,1.040692,1.042199,3.081340,41.467705
0.0119985,0.041979,0.038562,1.037275,1.038840,3.145476,42.570728
0.0139983,0.041003,0.040515,1.032394,1.034002,3.195798,44.656918
0.0159980,0.036610,0.042467,1.023119,1.024655,3.136876,49.236393
0.0179978,0.033681,0.043199,1.019214,1.020685,3.076380,52.057846
0.0199975,0.027335,0.044908,1.010428,1.011795,2.978547,58.671307
0.0219973,0.020990,0.045152,1.000177,1.001416,2.850118,65.067940
0.0239970,0.018305,0.044664,0.995296,0.996466,2.776574,67.714409
0.0259967,0.015864,0.043199,0.988706,0.989777,2.664915,69.835167
0.0279965,0.013912,0.041003,0.984557,0.985509,2.518084,71.258659
0.0299962,0.013424,0.039783,0.984557,0.985452,2.441922,71.354408
0.0319959,0.014400,0.037098,0.982604,0.983410,2.319169,68.785881
0.0339957,0.015132,0.036854,0.982116,0.982924,2.322879,67.677139
0.0359955,0.017329,0.034901,0.981384,0.982157,2.273742,63.595440
0.0379952,0.019281,0.035145,0.982360,0.983178,2.336740,61.250340
0.0399949,0.021966,0.035633,0.983093,0.983983,2.438152,58.348728
0.0419947,0.027091,0.036854,0.986021,0.987082,2.655939,53.680420
0.0439944,0.031972,0.038806,0.990170,0.991446,2.907037,50.514912
0.0459941,0.032705,0.040515,0.991635,0.993001,3.005698,51.088528
0.0479939,0.033925,0.041735,0.992367,0.993823,3.102235,50.893532
0.0499937,0.035389,0.045152,0.994564,0.996217,3.301263,51.911224
0.0519934,0.036122,0.045640,0.995784,0.997484,3.345212,51.640358
0.0539931,0.035633,0.046372,0.996760,0.998474,3.357772,52.460564
0.0559929,0.035145,0.047837,0.997736,0.999501,3.404731,53.695503
0.0579926,0.032949,0.050765,1.000665,1.002494,3.461023,57.014877
0.0599923,0.028556,0.053206,1.001642,1.003460,3.449974,61.777668
0.0619921,0.026847,0.052962,1.001397,1.003156,3.393326,63.118984
0.0639918,0.023430,0.050765,1.000421,1.001982,3.198798,65.224861
0.0659916,0.018061,0.045396,1.001397,1.002589,2.793162,68.304886
0.0679913,0.016108,0.042711,1.003594,1.004632,2.604290,69.336388
0.0699911,0.013912,0.033437,1.007987,1.008638,2.057759,67.409836
0.0719908,0.013912,0.033437,1.007987,1.008638,2.057759,67.409836
0.0739905,0.012447,0.026847,1.011404,1.011837,1.675964,65.125847
0.0759903,0.015132,0.020501,1.010916,1.011237,1.444014,53.569141
0.0779900,0.016352,0.016840,1.011404,1.011677,1.329574,45.842522
0.0799898,0.017817,0.015864,1.011648,1.011929,1.350747,41.682217
0.0819896,0.019769,0.014644,1.011648,1.011947,1.393110,36.528858
0.0839893,0.019525,0.015132,1.011160,1.011462,1.399557,37.775684
0.0859891,0.019769,0.017085,1.010672,1.011010,1.480945,40.833492
0.0879888,0.020013,0.020745,1.010428,1.010839,1.633986,46.029156
0.0899885,0.020990,0.028800,1.008475,1.009105,2.023811,53.914932
0.0919883,0.025139,0.035878,1.009208,1.010158,2.485537,54.981831
0.0939880,0.025383,0.038806,1.011404,1.012467,2.625026,56.811779
0.0959878,0.027579,0.046128,1.016529,1.017949,3.026468,59.125488
0.0979875,0.029532,0.051986,1.022143,1.023890,3.347611,60.400173
0.0999873,0.030508,0.054915,1.024828,1.026751,3.507717,60.945400
0.1019870,0.034413,0.056379,1.032150,1.034261,3.661639,58.600540
0.1039867,0.035389,0.056623,1.036055,1.038204,3.687536,57.994617
0.1059864,0.036122,0.057843,1.038007,1.040245,3.758850,58.016350
0.1079862,0.036366,0.058087,1.040204,1.042459,3.769358,57.951359
0.1099859,0.036122,0.056867,1.040936,1.043114,3.703062,57.576565
0.1119857,0.033437,0.052230,1.039472,1.041320,3.414206,57.373161
0.1139854,0.029288,0.050033,1.035323,1.036945,3.205035,59.656750
0.1159852,0.027335,0.050033,1.031417,1.032992,3.163969,61.350391
0.1179849,0.025383,0.050033,1.025072,1.026606,3.132691,63.100544
0.1199846,0.023186,0.050521,1.020923,1.022435,3.116527,65.347847
0.1219844,0.021478,0.050521,1.018482,1.019961,3.085340,66.968651
0.1239841,0.018549,0.050521,1.014333,1.015760,3.037122,69.839302
0.1259838,0.016596,0.049789,1.011648,1.013009,2.969727,71.565048
0.1279836,0.012691,0.049789,1.007743,1.009052,2.918797,75.699722
0.1299834,0.011471,0.047837,1.000177,1.001386,2.815777,76.515320
0.1319831,0.011471,0.047837,1.000177,1.001386,2.815777,76.515320
0.1339828,0.009030,0.048325,0.996272,0.997484,2.824939,79.415291
0.1359826,0.010983,0.048813,0.992123,0.993384,2.887036,77.319618
0.1379823,0.010739,0.047593,0.989194,0.990397,2.823691,77.284660
0.1399820,0.010739,0.046860,0.986265,0.987436,2.790638,77.092590
0.1419818,0.010739,0.046128,0.985533,0.986671,2.751361,76.894730
0.1439816,0.010739,0.046616,0.983825,0.984987,2.783755,77.027290
0.1459813,0.011471,0.046860,0.983337,0.984519,2.808747,76.244957
0.1479810,0.012691,0.046128,0.982849,0.984012,2.786777,74.616707
0.1499808,0.013424,0.045396,0.982116,0.983257,2.759602,73.527107
0.1519805,0.017085,0.044908,0.983093,0.984266,2.798064,69.171448
0.1539802,0.017329,0.044908,0.983581,0.984758,2.801769,68.899918
0.1559800,0.018793,0.045396,0.984313,0.985538,2.857595,67.511497
0.1579798,0.017817,0.045396,0.985777,0.986983,2.832205,68.571327
0.1599796,0.019281,0.045152,0.987242,0.988462,2.847026,66.876205
0.1619793,0.020990,0.045152,0.990170,0.991422,2.878820,65.067940
0.1639790,0.020990,0.044176,0.993099,0.994303,2.819459,64.585823
0.1659788,0.019525,0.043688,0.997004,0.998152,2.747873,65.918823
0.1679785,0.021966,0.041979,0.999689,1.000811,2.713465,62.378925
0.1699782,0.020501,0.041735,1.001397,1.002476,2.658517,63.838436
0.1719780,0.017573,0.040515,1.005302,1.006272,2.515362,66.551941
0.1739778,0.016596,0.037830,1.006523,1.007370,2.350353,66.312477
0.1759775,0.014888,0.037098,1.008475,1.009267,2.269865,68.133629
0.1779772,0.012447,0.034657,1.011648,1.012318,2.084595,70.244003
0.1799770,0.011959,0.034169,1.012625,1.013271,2.047557,70.709953
0.1819767,0.008298,0.032949,1.014577,1.015146,1.918059,75.863937
0.1839764,0.005613,0.030508,1.013845,1.014319,1.752565,79.574188
0.1859762,0.004637,0.030264,1.013357,1.013819,1.730766,81.288567
0.1879759,0.004149,0.030020,1.013357,1.013810,1.713036,82.130928
0.1899757,0.005613,0.030020,1.014089,1.014549,1.724990,79.408470
0.1919754,0.004393,0.029532,1.013845,1.014284,1.686788,81.538712
0.1939752,0.005369,0.027823,1.013113,1.013509,1.602178,79.077194
0.1959749,0.005613,0.028800,1.012869,1.013293,1.659182,78.970467
0.1979746,0.005858,0.029776,1.012625,1.013079,1.716688,78.870811
0.1999744,0.005613,0.030508,1.012625,1.013100,1.754685,79.574188
0.2019741,0.005858,0.030264,1.011892,1.012362,1.744955,79.045937
0.2039738,0.008054,0.029532,1.010184,1.010647,1.735509,74.744881
0.2059736,0.009274,0.030508,1.008719,1.009223,1.810673,73.090729
0.2079734,0.010983,0.030996,1.006523,1.007060,1.871267,70.489197
0.2099731,0.010007,0.030020,1.004326,1.004825,1.804719,71.565048
0.2119728,0.009274,0.030264,0.999933,1.000434,1.813157,72.962234
0.2139726,0.009763,0.030264,0.998713,0.999219,1.823704,72.121307
0.2159723,0.010251,0.032705,0.995296,0.995886,1.972289,72.597298
0.2179720,0.010739,0.033925,0.994320,0.994956,2.049564,72.434982
0.2199718,0.007078,0.036854,0.992367,0.993076,2.165640,79.128548
0.2219716,0.006834,0.037830,0.992611,0.993355,2.217968,79.760223
0.2239713,0.007810,0.038074,0.993831,0.994591,2.239570,78.407829
0.2259710,0.007078,0.040759,0.994320,0.995180,2.382445,80.148674
0.2279708,0.008786,0.041735,0.995540,0.996453,2.453118,78.111343
