LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Speed ( m/s),Time since start in ms 
55.855846,37.48426,176.4263,0.0422,1424
55.855846,37.48426,176.4263,0.0422,1434
55.855846,37.48426,176.4263,0.0422,1444
55.855846,37.48426,176.4263,0.0422,1454
55.855846,37.48426,176.4263,0.0422,1465
55.855846,37.48426,176.4263,0.0422,1474
55.855846,37.48426,176.4263,0.0422,1484
55.855846,37.48426,176.4263,0.0422,1494
55.855846,37.48426,176.4263,0.0422,1504
55.855846,37.48426,176.4263,0.0422,1515
55.855846,37.48426,176.4263,0.0422,1524
55.855846,37.48426,176.4263,0.0422,1535
55.855846,37.48426,176.4263,0.0422,1544
55.855846,37.48426,176.4263,0.0422,1554
55.855846,37.48426,176.4263,0.0422,1564
55.855846,37.48426,176.4263,0.0422,1575
55.855846,37.48426,176.4263,0.0422,1584
55.855846,37.48426,176.4263,0.0422,1594
55.855846,37.48426,176.4263,0.0422,1604
55.855846,37.48426,176.4263,0.0422,1614
55.855846,37.48426,176.4263,0.0422,1625
55.855846,37.48426,176.4263,0.0422,1634
55.855846,37.48426,176.4263,0.0422,1644
55.855846,37.48426,176.4263,0.0422,1655
55.855846,37.48426,176.4263,0.0422,1664
55.855846,37.48426,176.4263,0.0422,1674
55.855846,37.48426,176.4263,0.0422,1684
55.855846,37.48426,176.4263,0.0422,1695
55.855846,37.48426,176.4263,0.0422,1705
55.855846,37.48426,176.4263,0.0422,1715
55.855846,37.48426,176.4263,0.0422,1724
55.855846,37.48426,176.4263,0.0422,1734
55.855846,37.48426,176.4263,0.0422,1745
55.855846,37.48426,176.4263,0.0422,1754
55.855846,37.48426,176.4263,0.0422,1764
55.855846,37.48426,176.4263,0.0422,1774
55.855846,37.48426,176.4263,0.0422,1784
55.855846,37.48426,176.4263,0.0422,1794
55.855846,37.48426,176.4263,0.0422,1804
55.855846,37.48426,176.4263,0.0422,1814
55.855846,37.48426,176.4263,0.0422,1825
55.855846,37.48426,176.4263,0.0422,1834
55.855846,37.48426,176.4263,0.0422,1844
55.855846,37.48426,176.4263,0.0422,1855
55.855846,37.48426,176.4263,0.0422,1864
55.855846,37.48426,176.4263,0.0422,1874
55.855846,37.48426,176.4263,0.0422,1884
55.855846,37.48426,176.4263,0.0422,1895
55.855846,37.48426,176.4263,0.0422,1904
55.855846,37.48426,176.4263,0.0422,1914
55.855846,37.48426,176.4263,0.0422,1925
55.855846,37.48426,176.4263,0.0422,1934
55.855846,37.48426,176.4263,0.0422,1945
55.855846,37.48426,176.4263,0.0422,1954
55.855846,37.48426,176.4263,0.0422,1964
55.855846,37.48426,176.4263,0.0422,1974
55.855846,37.48426,176.4263,0.0422,1984
55.855846,37.48426,176.4263,0.0422,1995
55.855846,37.48426,176.4263,0.0422,2004
55.855846,37.48426,176.4263,0.0422,2014
55.855846,37.48426,176.4263,0.0422,2024
55.855846,37.48426,176.4263,0.0422,2034
55.855846,37.48426,176.4263,0.0422,2044
55.855846,37.48426,176.4263,0.0422,2055
55.855846,37.48426,176.4263,0.0422,2064
55.855846,37.48426,176.4263,0.0422,2074
55.855846,37.48426,176.4263,0.0422,2084
55.855846,37.48426,176.4263,0.0422,2094
55.855846,37.48426,176.4263,0.0422,2105
55.855846,37.48426,176.4263,0.0422,2114
55.855846,37.48426,176.4263,0.0422,2124
55.855846,37.48426,176.4263,0.0422,2135
55.855846,37.48426,176.4263,0.0422,2145
55.855846,37.48426,176.4263,0.0422,2154
55.855846,37.48426,176.4263,0.0422,2164
55.855846,37.48426,176.4263,0.0422,2175
55.855846,37.48426,176.4263,0.0422,2184
55.855846,37.48426,176.4263,0.0422,2194
55.855846,37.48426,176.4263,0.0422,2204
55.855846,37.48426,176.4263,0.0422,2214
55.855846,37.48426,176.4263,0.0422,2224
55.855846,37.48426,176.4263,0.0422,2234
55.855846,37.48426,176.4263,0.0422,2245
55.855846,37.48426,176.4263,0.0422,2254
55.855846,37.48426,176.4263,0.0422,2264
55.855846,37.48426,176.4263,0.0422,2274
55.855846,37.48426,176.4263,0.0422,2284
55.855846,37.48426,176.4263,0.0422,2294
55.855846,37.48426,176.4263,0.0422,2304
55.855846,37.48426,176.4263,0.0422,2314
55.855846,37.48426,176.4263,0.0422,2324
55.855846,37.48426,176.4263,0.0422,2335
55.855846,37.48426,176.4263,0.0422,2344
55.855846,37.48426,176.4263,0.0422,2354
55.855846,37.48426,176.4263,0.0422,2364
55.855846,37.48426,176.4263,0.0422,2375
55.855846,37.48426,176.4263,0.0422,2384
55.855846,37.48426,176.4263,0.0422,2394
55.855846,37.48426,176.4263,0.0422,2404
55.855846,37.48426,176.4263,0.0422,2415
55.855846,37.48426,176.4263,0.0422,2424
55.855846,37.48426,176.4263,0.0422,2434
55.855846,37.48426,176.4263,0.0422,2444
55.855846,37.48426,176.4263,0.0422,2455
55.855846,37.48426,176.4263,0.0422,2464
55.855846,37.48426,176.4263,0.0422,2475
55.855846,37.48426,176.4263,0.0422,2484
55.855846,37.48426,176.4263,0.0422,2495
55.855846,37.48426,176.4263,0.0422,2504
55.855846,37.48426,176.4263,0.0422,2514
55.855846,37.48426,176.4263,0.0422,2525
55.855846,37.48426,176.4263,0.0422,2534
55.855846,37.48426,176.4263,0.0422,2544
55.855846,37.48426,176.4263,0.0422,2555
55.855846,37.48426,176.4263,0.0422,2564
55.855846,37.48426,176.4263,0.0422,2575
55.855846,37.48426,176.4263,0.0422,2584
55.855846,37.48426,176.4263,0.0422,2594
55.855846,37.48426,176.4263,0.0422,2604
55.855846,37.48426,176.4263,0.0422,2614
55.855846,37.48426,176.4263,0.0422,2624
55.855846,37.48426,176.4263,0.0422,2634
55.855846,37.48426,176.4263,0.0422,2645
55.855846,37.48426,176.4263,0.0422,2656
55.855846,37.48426,176.4263,0.0422,2664
55.855846,37.48426,176.4263,0.0422,2676
55.855846,37.48426,176.4263,0.0422,2684
55.855846,37.48426,176.4263,0.0422,2694
55.855846,37.48426,176.4263,0.0422,2705
55.855846,37.48426,176.4263,0.0422,2714
55.855846,37.48426,176.4263,0.0422,2725
55.855846,37.48426,176.4263,0.0422,2734
55.855846,37.48426,176.4263,0.0422,2744
55.855846,37.48426,176.4263,0.0422,2754
55.855846,37.48426,176.4263,0.0422,2764
55.855846,37.48426,176.4263,0.0422,2775
55.855846,37.48426,176.4263,0.0422,2784
55.855846,37.48426,176.4263,0.0422,2794
55.855846,37.48426,176.4263,0.0422,2804
55.855846,37.48426,176.4263,0.0422,2814
55.855846,37.48426,176.4263,0.0422,2824
55.855846,37.48426,176.4263,0.0422,2834
55.855846,37.48426,176.4263,0.0422,2845
55.855846,37.48426,176.4263,0.0422,2854
55.855846,37.48426,176.4263,0.0422,2864
55.855846,37.48426,176.4263,0.0422,2874
55.855846,37.48426,176.4263,0.0422,2884
55.855846,37.48426,176.4263,0.0422,2895
55.855846,37.48426,176.4263,0.0422,2904
55.855846,37.48426,176.4263,0.0422,2914
55.855846,37.48426,176.4263,0.0422,2925
55.855846,37.48426,176.4263,0.0422,2934
55.855846,37.48426,176.4263,0.0422,2944
55.855846,37.48426,176.4263,0.0422,2955
55.855846,37.48426,176.4263,0.0422,2964
55.855846,37.48426,176.4263,0.0422,2975
55.855846,37.48426,176.4263,0.0422,2984
55.855846,37.48426,176.4263,0.0422,2994
55.855846,37.48426,176.4263,0.0422,3004
55.855846,37.48426,176.4263,0.0422,3014
55.855846,37.48426,176.4263,0.0422,3025
55.855846,37.48426,176.4263,0.0422,3034
55.855846,37.48426,176.4263,0.0422,3044
55.855846,37.48426,176.4263,0.0422,3054
55.855846,37.48426,176.4263,0.0422,3064
55.855846,37.48426,176.4263,0.0422,3074
55.855846,37.48426,176.4263,0.0422,3085
55.855846,37.48426,176.4263,0.0422,3094
55.855846,37.48426,176.4263,0.0422,3104
55.855846,37.48426,176.4263,0.0422,3114
55.855846,37.48426,176.4263,0.0422,3124
55.855846,37.48426,176.4263,0.0422,3135
55.855846,37.48426,176.4263,0.0422,3144
55.855846,37.48426,176.4263,0.0422,3154
55.855846,37.48426,176.4263,0.0422,3164
55.855846,37.48426,176.4263,0.0422,3174
55.855846,37.48426,176.4263,0.0422,3184
55.855846,37.48426,176.4263,0.0422,3194
55.855846,37.48426,176.4263,0.0422,3204
55.855846,37.48426,176.4263,0.0422,3214
55.855846,37.48426,176.4263,0.0422,3224
55.855846,37.48426,176.4263,0.0422,3234
55.855846,37.48426,176.4263,0.0422,3244
55.855846,37.48426,176.4263,0.0422,3254
55.855846,37.48426,176.4263,0.0422,3264
55.855846,37.48426,176.4263,0.0422,3274
55.855846,37.48426,176.4263,0.0422,3284
55.855846,37.48426,176.4263,0.0422,3294
55.855846,37.48426,176.4263,0.0422,3305
55.855846,37.48426,176.4263,0.0422,3314
55.855846,37.48426,176.4263,0.0422,3324
55.855846,37.48426,176.4263,0.0422,3334
55.855846,37.48426,176.4263,0.0422,3344
55.855846,37.48426,176.4263,0.0422,3354
55.855846,37.48426,176.4263,0.0422,3364
55.855846,37.48426,176.4263,0.0422,3374
55.855846,37.48426,176.4263,0.0422,3384
55.855846,37.48426,176.4263,0.0422,3394
55.855846,37.48426,176.4263,0.0422,3404
55.855846,37.48426,176.4263,0.0422,3414
55.855846,37.48426,176.4263,0.0422,3424
55.855846,37.48426,176.4263,0.0422,3434
55.855846,37.48426,176.4263,0.0422,3445
55.855846,37.48426,176.4263,0.0422,3455
55.855846,37.48426,176.4263,0.0422,3464
55.855846,37.48426,176.4263,0.0422,3474
55.855846,37.48426,176.4263,0.0422,3485
55.855846,37.48426,176.4263,0.0422,3495
55.855846,37.48426,176.4263,0.0422,3504
55.855846,37.48426,176.4263,0.0422,3514
55.855846,37.48426,176.4263,0.0422,3524
55.855846,37.48426,176.4263,0.0422,3534
55.855846,37.48426,176.4263,0.0422,3544
55.855846,37.48426,176.4263,0.0422,3554
55.855846,37.48426,176.4263,0.0422,3564
55.855846,37.48426,176.4263,0.0422,3574
55.855846,37.48426,176.4263,0.0422,3584
55.855846,37.48426,176.4263,0.0422,3595
55.855846,37.48426,176.4263,0.0422,3604
55.855846,37.48426,176.4263,0.0422,3614
55.855846,37.48426,176.4263,0.0422,3625
55.855846,37.48426,176.4108,0.0181,3635
55.855846,37.48426,176.4108,0.0181,3644
55.855846,37.48426,176.4108,0.0181,3654
55.855846,37.48426,176.4108,0.0181,3665
55.855846,37.48426,176.4108,0.0181,3674
55.855846,37.48426,176.4108,0.0181,3684
55.855846,37.48426,176.4108,0.0181,3695
55.855846,37.48426,176.4108,0.0181,3704
55.855846,37.48426,176.4108,0.0181,3714
55.855846,37.48426,176.4108,0.0181,3725
55.855846,37.48426,176.4108,0.0181,3734
55.855846,37.48426,176.4108,0.0181,3744
55.855846,37.48426,176.4108,0.0181,3754
55.855846,37.48426,176.4108,0.0181,3764
55.855846,37.48426,176.4108,0.0181,3774
55.855846,37.48426,176.4108,0.0181,3784
55.855846,37.48426,176.4108,0.0181,3794
