Keuwl Accelerometer Data File
2021-04-30 04-10-13

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
21.8060303,0.055068,0.124502,9.766247,9.767196,0.798684,66.139824
21.8080292,0.052674,0.117319,9.763853,9.764700,0.754592,65.820892
21.8100300,0.059857,0.112531,9.775824,9.776654,0.746772,61.990822
21.8120289,0.062251,0.119714,9.785401,9.786331,0.789815,62.525570
21.8140278,0.067040,0.107742,9.778218,9.779042,0.743884,58.109207
21.8160286,0.067040,0.122108,9.768641,9.769634,0.816852,61.232349
21.8180275,0.067040,0.117319,9.771035,9.771970,0.792535,60.255116
21.8200283,0.074223,0.122108,9.771035,9.772079,0.837668,58.706963
21.8220272,0.088588,0.119714,9.778218,9.779352,0.872452,53.498558
21.8240280,0.076617,0.110137,9.766247,9.767168,0.786836,55.175510
21.8260269,0.076617,0.110137,9.771035,9.771956,0.786836,55.175510
21.8280277,0.069434,0.112531,9.768641,9.769536,0.775312,58.324532
21.8300266,0.069434,0.114925,9.768641,9.769564,0.787333,58.861027
21.8320255,0.083800,0.122108,9.775824,9.776945,0.867955,55.539185
21.8340263,0.086194,0.122108,9.759064,9.760208,0.877373,54.782410
21.8360252,0.086194,0.126897,9.768641,9.769846,0.899616,55.813877
21.8380260,0.095771,0.122108,9.768641,9.769874,0.909997,51.892422
21.8400249,0.093377,0.117319,9.775824,9.776974,0.878932,51.483074
21.8420258,0.093377,0.112531,9.780613,9.781706,0.856608,50.314545
21.8440247,0.086194,0.119714,9.780613,9.781725,0.863887,54.246113
21.8460236,0.079011,0.117319,9.794978,9.796000,0.827325,56.040939
21.8480244,0.081405,0.107742,9.794978,9.795909,0.789815,52.926929
21.8500233,0.083800,0.114925,9.785401,9.786435,0.832748,53.901718
21.8520241,0.083800,0.117319,9.773430,9.774493,0.845110,54.462322
21.8540230,0.098165,0.117319,9.761458,9.762657,0.897875,50.079609
21.8560238,0.090982,0.117319,9.761458,9.762588,0.871330,52.206055
21.8580227,0.083800,0.119714,9.754275,9.755370,0.858434,55.007980
21.8600235,0.079011,0.122108,9.759064,9.760148,0.854092,57.094757
21.8620224,0.067040,0.124502,9.761458,9.762483,0.829923,61.699242
21.8640213,0.081405,0.126897,9.763853,9.765017,0.884481,57.319443
21.8660221,0.090982,0.119714,9.768641,9.769798,0.881822,52.765167
21.8680210,0.088588,0.122108,9.771035,9.772200,0.884481,54.039482
21.8700218,0.090982,0.129291,9.768641,9.769920,0.927040,54.865807
21.8720207,0.086194,0.119714,9.780613,9.781725,0.863887,54.246113
21.8740215,0.090982,0.110137,9.773430,9.774474,0.837434,50.440334
21.8760204,0.090982,0.107742,9.771035,9.772053,0.826852,49.820766
21.8780193,0.088588,0.112531,9.771035,9.772084,0.839534,51.788975
21.8800201,0.086194,0.110137,9.771035,9.772037,0.820199,51.952961
21.8820190,0.095771,0.117319,9.771035,9.772209,0.888234,50.774326
21.8840199,0.081405,0.119714,9.766247,9.767320,0.849267,55.784298
21.8860188,0.081405,0.119714,9.775824,9.776896,0.848345,55.784298
21.8880196,0.067040,0.122108,9.771035,9.772028,0.816613,61.232349
21.8900185,0.074223,0.124502,9.778218,9.779293,0.849497,59.198555
21.8920193,0.083800,0.117319,9.775824,9.776887,0.845110,54.462322
21.8940182,0.081405,0.112531,9.763853,9.764840,0.814694,54.117863
21.8960171,0.090982,0.110137,9.756670,9.757716,0.839068,50.440334
21.8980179,0.081405,0.124502,9.749487,9.750622,0.874245,56.821487
21.9000168,0.059857,0.117319,9.763853,9.764741,0.772531,62.969139
21.9020176,0.062251,0.119714,9.773430,9.774361,0.790805,62.525570
21.9040165,0.069434,0.110137,9.780613,9.781480,0.762845,57.771244
21.9060173,0.067040,0.117319,9.787795,9.788728,0.791053,60.255116
21.9080162,0.062251,0.124502,9.780613,9.781604,0.815654,63.434948
21.9100151,0.074223,0.134079,9.780613,9.781814,0.897657,61.032341
21.9120159,0.074223,0.136474,9.787795,9.789028,0.909352,61.460014
21.9140148,0.081405,0.134079,9.780613,9.781871,0.918771,58.736271
21.9160156,0.083800,0.122108,9.785401,9.786522,0.867053,55.539185
21.9180145,0.090982,0.117319,9.780613,9.781740,0.869757,52.206055
21.9200153,0.083800,0.102954,9.773430,9.774331,0.778083,50.856014
21.9220142,0.088588,0.093377,9.773430,9.774277,0.754333,46.507435
21.9240150,0.086194,0.117319,9.766247,9.767332,0.854092,53.695503
21.9260139,0.081405,0.114925,9.780613,9.781627,0.824957,54.688786
21.9280128,0.074223,0.122108,9.768641,9.769687,0.838135,58.706963
21.9300137,0.081405,0.124502,9.775824,9.776956,0.872004,56.821487
21.9320126,0.071828,0.119714,9.773430,9.774426,0.818288,59.036243
21.9340134,0.069434,0.126897,9.766247,9.767318,0.848576,61.313850
21.9360123,0.069434,0.117319,9.749487,9.750441,0.801374,59.381393
21.9380131,0.067040,0.107742,9.747093,9.747919,0.745723,58.109207
21.9400120,0.076617,0.110137,9.756670,9.757592,0.787830,55.175510
21.9420109,0.076617,0.119714,9.759064,9.760098,0.834391,57.380756
21.9440117,0.086194,0.119714,9.766247,9.767361,0.865245,54.246113
21.9460106,0.090982,0.119714,9.773430,9.774586,0.881156,52.765167
21.9480114,0.098165,0.131685,9.778218,9.779598,0.962458,53.297142
21.9500103,0.095771,0.126897,9.778218,9.779510,0.931462,52.957523
21.9520111,0.093377,0.129291,9.775824,9.777124,0.934608,54.162346
21.9540100,0.098165,0.124502,9.778218,9.779504,0.928938,51.745579
21.9560108,0.105348,0.117319,9.768641,9.769914,0.924715,48.077457
21.9580097,0.081405,0.117319,9.768641,9.769685,0.837434,55.244087
21.9600086,0.081405,0.117319,9.775824,9.776867,0.836966,55.244087
21.9620094,0.090982,0.112531,9.783007,9.784077,0.847422,51.044090
21.9640083,0.114925,0.114925,9.749487,9.750841,0.954906,45.000000
21.9660091,0.119714,0.117319,9.756670,9.758110,0.984370,44.421276
21.9680080,0.095771,0.114925,9.778218,9.779363,0.876480,50.194431
21.9700089,0.083800,0.107742,9.771035,9.771989,0.800397,52.125019
21.9720078,0.090982,0.105348,9.773430,9.774421,0.815894,49.184917
21.9740086,0.093377,0.114925,9.771035,9.772157,0.867955,50.906143
21.9760075,0.086194,0.112531,9.761458,9.762487,0.831807,52.549423
21.9780083,0.083800,0.117319,9.759064,9.760129,0.846498,54.462322
21.9800072,0.095771,0.110137,9.759064,9.760155,0.856608,48.990913
21.9820061,0.086194,0.117319,9.763853,9.764938,0.854321,53.695503
21.9840069,0.071828,0.126897,9.778218,9.779305,0.854321,60.488499
21.9860058,0.069434,0.122108,9.775824,9.776833,0.823057,60.376251
21.9880066,0.067040,0.119714,9.771035,9.771998,0.804543,60.751171
21.9900055,0.083800,0.131685,9.768641,9.769888,0.915143,57.528809
21.9920063,0.086194,0.114925,9.768641,9.769697,0.842327,53.130104
21.9940052,0.095771,0.107742,9.766247,9.767311,0.845804,48.366459
21.9960060,0.076617,0.114925,9.773430,9.774405,0.809634,56.309933
21.9980049,0.083800,0.112531,9.766247,9.767255,0.823057,53.325653
22.0000038,0.088588,0.119714,9.768641,9.769776,0.873349,53.498558
22.0020046,0.071828,0.119714,9.761458,9.762457,0.819483,59.036243
22.0040035,0.071828,0.117319,9.754275,9.755245,0.807940,58.523159
22.0060043,0.074223,0.124502,9.763853,9.764929,0.850418,59.198555
22.0080032,0.081405,0.124502,9.773430,9.774562,0.872004,56.821487
22.0100040,0.083800,0.122108,9.771035,9.772158,0.868406,55.539185
22.0120029,0.069434,0.114925,9.747093,9.748018,0.789319,58.861027
22.0140038,0.069434,0.105348,9.749487,9.750303,0.741513,56.611485
22.0160027,0.076617,0.122108,9.766247,9.767311,0.845804,57.893745
22.0180035,0.071828,0.114925,9.768641,9.769581,0.794508,57.994614
22.0200024,0.067040,0.114925,9.756670,9.757577,0.781095,59.743561
22.0220013,0.086194,0.124502,9.768641,9.769815,0.888234,55.304848
22.0240021,0.083800,0.117319,9.766247,9.767311,0.845804,54.462322
22.0260010,0.067040,0.117319,9.773430,9.774364,0.792041,60.255116
22.0280018,0.064645,0.107742,9.790190,9.790996,0.735153,59.036243
22.0300007,0.055068,0.107742,9.790190,9.790937,0.708035,62.927921
22.0320015,0.047885,0.107742,9.787795,9.788506,0.690405,66.037514
22.0340004,0.055068,0.107742,9.763853,9.764603,0.709967,62.927921
22.0359993,0.067040,0.110137,9.754275,9.755128,0.757439,58.671307
22.0380001,0.081405,0.117319,9.749487,9.750533,0.839301,55.244087
22.0399990,0.067040,0.126897,9.763853,9.764908,0.842094,62.152420
22.0420017,0.071828,0.124502,9.771035,9.772093,0.843023,60.018360
22.0439987,0.076617,0.124502,9.763853,9.764947,0.857522,58.392498
22.0460014,0.062251,0.112531,9.778218,9.779064,0.753554,61.049007
22.0479984,0.062251,0.112531,9.773430,9.774276,0.753814,61.049007
22.0500011,0.064645,0.119714,9.763853,9.764801,0.798439,61.630955
22.0520000,0.069434,0.131685,9.773430,9.774564,0.872677,62.198540
22.0539970,0.062251,0.124502,9.763853,9.764845,0.816613,63.434948
22.0559998,0.059857,0.107742,9.771035,9.771812,0.722534,60.945396
22.0579987,0.081405,0.107742,9.771035,9.771968,0.791547,52.926929
22.0599995,0.083800,0.119714,9.778218,9.779310,0.856151,55.007980
22.0619984,0.062251,0.117319,9.792584,9.793485,0.776825,62.049030
22.0639992,0.074223,0.119714,9.790190,9.791203,0.824482,58.201088
22.0659981,0.081405,0.129291,9.785401,9.786594,0.894600,57.804264
22.0679970,0.086194,0.126897,9.761458,9.762664,0.900486,55.813877
22.0699978,0.083800,0.126897,9.759064,9.760248,0.892629,56.560131
22.0719967,0.074223,0.098165,9.778218,9.778993,0.721179,52.907162
22.0739975,0.074223,0.105348,9.771035,9.771885,0.755629,54.833565
22.0759964,0.086194,0.122108,9.790190,9.791330,0.874469,54.782410
22.0779972,0.071828,0.146051,9.778218,9.779572,0.953471,63.811890
22.0799961,0.069434,0.136474,9.759064,9.760265,0.899181,63.034286
22.0819969,0.057463,0.124502,9.754275,9.755239,0.805515,65.224861
22.0839958,0.062251,0.117319,9.759064,9.759968,0.779842,62.049030
22.0859947,0.069434,0.119714,9.766247,9.767227,0.811806,59.886265
22.0879955,0.071828,0.107742,9.761458,9.762318,0.760276,56.309933
22.0899944,0.074223,0.117319,9.771035,9.772021,0.813973,57.680382
22.0919952,0.059857,0.122108,9.768641,9.769588,0.797458,63.886086
22.0939941,0.062251,0.124502,9.768641,9.769633,0.816373,63.434948
22.0959949,0.067040,0.126897,9.771035,9.772089,0.841397,62.152420
22.0979939,0.079011,0.119714,9.773430,9.774483,0.840932,56.575188
22.0999928,0.071828,0.134079,9.773430,9.774613,0.891532,61.821411
22.1019936,0.074223,0.129291,9.768641,9.769779,0.874469,60.140984
22.1039925,0.086194,0.131685,9.756670,9.757939,0.924080,56.793430
22.1059933,0.076617,0.129291,9.763853,9.765009,0.881600,59.349331
22.1079922,0.083800,0.117319,9.763853,9.764917,0.846035,54.462322
22.1099930,0.074223,0.122108,9.771035,9.772079,0.837668,58.706963
22.1119919,0.059857,0.114925,9.766247,9.767106,0.760018,62.487999
22.1139927,0.071828,0.112531,9.780613,9.781524,0.781847,57.449997
22.1159916,0.076617,0.122108,9.766247,9.767311,0.845804,57.893745
22.1179905,0.090982,0.117319,9.768641,9.769770,0.870656,52.206055
22.1199913,0.083800,0.122108,9.773430,9.774551,0.867955,55.539185
22.1219902,0.095771,0.126897,9.768641,9.769935,0.932302,52.957523
22.1239910,0.090982,0.131685,9.766247,9.767558,0.938786,55.359051
22.1259899,0.098165,0.119714,9.768641,9.769868,0.907844,50.648247
22.1279907,0.083800,0.124502,9.768641,9.769794,0.880267,56.056412
22.1299896,0.081405,0.129291,9.771035,9.772230,0.896130,57.804264
22.1319885,0.098165,0.114925,9.787795,9.788962,0.884923,49.497150
