Keuwl Accelerometer Data File
2021-04-27 01-00-28

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.1502044,0.296890,0.421392,9.921875,9.935256,2.974009,54.833565
0.1522041,0.296890,0.411815,9.938635,9.951593,2.924292,54.211025
0.1542038,0.292102,0.387873,9.976943,9.988751,2.786286,53.017094
0.1562036,0.292102,0.383084,9.988914,10.000525,2.761091,52.674480
0.1582033,0.272947,0.349564,10.000886,10.010715,2.539293,52.016502
0.1602030,0.275342,0.335198,9.991309,10.000721,2.485931,50.599339
0.1622028,0.280130,0.325621,9.993703,10.002930,2.461084,49.294785
0.1642026,0.287313,0.320833,9.996098,10.005371,2.467041,48.154842
0.1662023,0.282524,0.323227,9.996098,10.005312,2.459174,48.844135
0.1682020,0.277736,0.311256,10.008069,10.016759,2.386795,48.257221
0.1702018,0.268159,0.320833,10.003280,10.012015,2.393592,50.110416
0.1722015,0.270553,0.320833,9.991309,10.000119,2.405257,49.859615
0.1742013,0.287313,0.318439,9.938635,9.947886,2.471084,47.941467
0.1762010,0.284919,0.313650,9.890749,9.899821,2.453118,47.748093
0.1782008,0.275342,0.311256,9.873989,9.882730,2.409891,48.503532
0.1802005,0.272947,0.323227,9.830893,9.839991,2.464025,49.820766
0.1822002,0.277736,0.332804,9.806950,9.816525,2.530799,50.153908
0.1841999,0.272947,0.335198,9.763853,9.773417,2.534972,50.844563
0.1861997,0.275342,0.351958,9.703996,9.714279,2.636559,51.963467
0.1881994,0.272947,0.363930,9.687236,9.697911,2.688608,53.130100
0.1901991,0.280130,0.378295,9.644139,9.655621,2.794353,53.479820
0.1921989,0.280130,0.399844,9.627379,9.639750,2.903062,54.984962
0.1941987,0.272947,0.402238,9.615408,9.627687,2.894079,55.840302
0.1961984,0.282524,0.390267,9.601042,9.613123,2.872830,54.098228
0.1981982,0.287313,0.397450,9.598648,9.611169,2.924894,54.137150
0.2001979,0.284919,0.414210,9.601042,9.614195,2.997415,55.477425
0.2021976,0.287313,0.418998,9.598648,9.612084,3.029830,55.561008
0.2041974,0.294496,0.418998,9.603436,9.617083,3.052617,54.898262
0.2061971,0.299284,0.423787,9.605830,9.619830,3.091488,54.769699
0.2081968,0.299284,0.435758,9.615408,9.629929,3.146845,55.518208
0.2101966,0.284919,0.430969,9.632168,9.646013,3.070202,56.530869
0.2121964,0.277736,0.428575,9.639350,9.652869,3.032736,57.054958
0.2141961,0.275342,0.430969,9.648928,9.662472,3.034027,57.425945
0.2161958,0.263370,0.421392,9.672871,9.685626,2.940846,57.994617
0.2181956,0.260976,0.433364,9.701602,9.714782,2.984850,58.943230
0.2201953,0.244216,0.435758,9.725544,9.738364,2.940314,60.732006
0.2221950,0.241822,0.428575,9.727939,9.740377,2.895905,60.566319
0.2241948,0.220273,0.409421,9.732727,9.743825,2.734878,61.719227
0.2261946,0.210696,0.399844,9.737515,9.747998,2.657412,62.213184
0.2281944,0.205908,0.395055,9.742304,9.752484,2.618157,62.470928
0.2301941,0.205908,0.395055,9.744699,9.754876,2.617484,62.470928
0.2321938,0.210696,0.390267,9.747093,9.757178,2.605267,61.636398
0.2341936,0.210696,0.385478,9.756670,9.766555,2.578001,61.339695
0.2361933,0.225062,0.383084,9.751882,9.761998,2.608720,59.565765
0.2381930,0.229850,0.397450,9.742304,9.753117,2.698201,59.958637
0.2401928,0.229850,0.399844,9.761458,9.772347,2.705012,60.107544
0.2421926,0.229850,0.414210,9.775824,9.787294,2.774246,60.973522
0.2441924,0.249005,0.402238,9.751882,9.763350,2.777279,58.240520
0.2461922,0.258582,0.402238,9.730332,9.742075,2.813412,57.264774
0.2481920,0.246610,0.428575,9.730332,9.742887,2.909057,60.083061
0.2501917,0.265765,0.421392,9.715967,9.728731,2.935317,57.761116
0.2521915,0.268159,0.423787,9.703996,9.716946,2.958367,57.675663
0.2541912,0.244216,0.423787,9.701602,9.713923,2.886155,60.046391
0.2561910,0.237033,0.409421,9.670476,9.682041,2.800720,59.931419
0.2581909,0.234639,0.411815,9.672871,9.684476,2.805260,60.326920
0.2601908,0.234639,0.392661,9.668081,9.678896,2.708772,59.139111
0.2621906,0.232245,0.395055,9.658504,9.669370,2.716421,59.549633
0.2641905,0.232245,0.390267,9.636956,9.647651,2.698056,59.243462
0.2661904,0.232245,0.375901,9.627379,9.637513,2.627709,58.290802
0.2681902,0.234639,0.375901,9.622590,9.632788,2.636633,58.027431
0.2701901,0.246610,0.380690,9.629773,9.640450,2.696750,57.064884
0.2721900,0.256187,0.385478,9.622590,9.633715,2.753779,56.392136
0.2741900,0.260976,0.390267,9.624985,9.636428,2.792531,56.228893
0.2761899,0.270553,0.407027,9.627379,9.639777,2.906162,56.387779
0.2781898,0.280130,0.404632,9.617802,9.630384,2.929241,55.304848
0.2801898,0.301679,0.404632,9.656111,9.669292,2.992121,53.293182
0.2821897,0.299284,0.402238,9.658504,9.671509,2.971572,53.348995
0.2841896,0.294496,0.404632,9.660899,9.673853,2.965439,53.952477
0.2861896,0.299284,0.404632,9.668081,9.681172,2.979992,53.511707
0.2881896,0.306467,0.399844,9.672871,9.685981,2.981372,52.531025
0.2901896,0.308861,0.402238,9.692024,9.705283,2.995260,52.480885
0.2921895,0.313650,0.399844,9.694419,9.707729,3.000744,51.888256
0.2941895,0.301679,0.387873,9.696813,9.709255,2.900970,52.125015
0.2961894,0.284919,0.385478,9.684841,9.696696,2.833518,53.530769
0.2981894,0.268159,0.373507,9.706390,9.717275,2.712094,54.323589
0.3001894,0.260976,0.361535,9.723150,9.733369,2.625697,54.176201
0.3021894,0.251399,0.351958,9.720756,9.730373,2.547681,54.462322
0.3041893,0.229850,0.371113,9.711179,9.720985,2.573822,58.227795
0.3061893,0.229850,0.385478,9.708784,9.719151,2.646636,59.193504
0.3081893,0.227456,0.399844,9.713573,9.724459,2.711372,60.366085
0.3101892,0.217879,0.395055,9.692024,9.702518,2.665062,61.122597
0.3121892,0.215485,0.399844,9.684841,9.695486,2.685111,61.678787
0.3141892,0.215485,0.395055,9.658504,9.668982,2.667485,61.389542
0.3161891,0.201119,0.392661,9.648928,9.659008,2.617858,62.878696
0.3181891,0.208302,0.387873,9.668081,9.678101,2.607369,61.762554
0.3201890,0.222668,0.387873,9.663293,9.673637,2.649962,60.140984
0.3221889,0.232245,0.387873,9.668081,9.678645,2.677226,59.088284
0.3241889,0.227456,0.378295,9.689631,9.699679,2.608270,58.982944
0.3261888,0.227456,0.380690,9.692024,9.702165,2.619802,59.142345
0.3281887,0.232245,0.385478,9.711179,9.721601,2.653284,58.931690
0.3301887,0.244216,0.375901,9.725544,9.735869,2.639008,56.988960
0.3321886,0.263370,0.373507,9.725544,9.736277,2.690500,54.811260
0.3341886,0.272947,0.380690,9.732727,9.743993,2.755414,54.360188
0.3361884,0.284919,0.387873,9.727939,9.739837,2.832343,53.700191
0.3381883,0.287313,0.399844,9.737515,9.749955,2.894620,54.300377
0.3401881,0.294496,0.397450,9.744699,9.757246,2.906027,53.462891
0.3421881,0.292102,0.390267,9.742304,9.754492,2.864505,53.186382
0.3441879,0.292102,0.383084,9.749487,9.761382,2.828885,52.674480
0.3461878,0.292102,0.392661,9.747093,9.759372,2.874397,53.354351
0.3481877,0.299284,0.399844,9.742304,9.755097,2.934716,53.185040
0.3501876,0.280130,0.423787,9.718362,9.731630,2.992317,56.534618
0.3521874,0.280130,0.418998,9.720756,9.733813,2.968079,56.234444
