Keuwl Accelerometer Data File
2021-04-25 21-53-59

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.1499811,0.215485,1.247417,9.862018,9.942931,7.314534,80.199181
0.1519809,0.239427,1.278543,9.826104,9.911827,7.540904,79.393303
0.1539806,0.258582,1.290514,9.821315,9.909113,7.632806,78.669624
0.1559803,0.282524,1.312063,9.816526,9.907851,7.785329,77.848129
0.1579800,0.308861,1.336005,9.778218,9.873898,7.982763,76.982887
0.1599798,0.320833,1.350371,9.771035,9.869122,8.084685,76.634972
0.1619795,0.318439,1.386285,9.742304,9.845592,8.306572,77.063210
0.1639793,0.335198,1.403045,9.727939,9.834311,8.434775,76.563454
0.1659790,0.349564,1.419805,9.708784,9.818275,8.564743,76.168549
0.1679788,0.359141,1.422199,9.658504,9.769256,8.635586,75.827660
0.1699785,0.368718,1.417411,9.648928,9.759447,8.630877,75.418533
0.1719782,0.392661,1.419805,9.632168,9.744162,8.695200,74.540695
0.1739780,0.411815,1.422199,9.615408,9.728737,8.753918,73.850975
0.1759777,0.409421,1.426988,9.610620,9.724604,8.781095,73.991142
0.1779775,0.407027,1.434171,9.610620,9.725560,8.817507,74.155724
0.1799773,0.383084,1.429382,9.632168,9.745180,8.734262,74.996925
0.1819770,0.368718,1.419805,9.648928,9.759795,8.644338,75.442078
0.1839768,0.339987,1.391074,9.658504,9.764087,8.433518,76.265800
0.1859765,0.328016,1.379102,9.653716,9.757241,8.353764,76.620949
0.1879762,0.272947,1.350371,9.682447,9.779969,8.098055,78.572899
0.1899760,0.208302,1.333611,9.725544,9.818763,7.901422,81.122482
0.1919757,0.184359,1.314457,9.749487,9.839425,7.752765,82.016060
0.1939755,0.153234,1.276148,9.783007,9.867080,7.484799,83.152985
0.1959753,0.119714,1.254600,9.783007,9.863853,7.340748,84.549347
0.1979750,0.100560,1.249811,9.778218,9.858281,7.307127,85.399902
0.1999748,0.090982,1.223474,9.778218,9.854883,7.151407,85.747086
0.2019745,0.086194,1.218686,9.785401,9.861374,7.116676,85.954384
0.2039742,0.100560,1.218686,9.790190,9.866261,7.119543,85.282944
0.2059740,0.114925,1.216292,9.794978,9.870875,7.109699,84.602249
0.2079737,0.141262,1.211503,9.785401,9.861124,7.105034,83.349297
0.2099735,0.158022,1.218686,9.797373,9.874143,7.149322,82.611908
0.2119733,0.162811,1.230657,9.806950,9.885205,7.214227,82.463776
0.2139730,0.169994,1.233052,9.802161,9.880875,7.236899,82.150452
0.2159728,0.189148,1.249811,9.833286,9.914198,7.325042,81.394104
0.2179725,0.167599,1.254600,9.864412,9.945288,7.311932,82.391037
0.2199723,0.167599,1.264177,9.873989,9.955997,7.359061,82.448006
0.2219721,0.167599,1.254600,9.893144,9.973785,7.290892,82.391037
0.2239718,0.160416,1.249811,9.902720,9.982567,7.251605,82.685936
0.2259717,0.160416,1.261783,9.907509,9.988822,7.315688,82.754585
