LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Speed ( m/s),Time since start in ms 
55.855835,37.48458,176.8436,0.4836,9
55.855835,37.48458,176.8436,0.4836,19
55.855835,37.48458,176.8436,0.4836,29
55.855835,37.48458,176.8436,0.4836,40
55.855835,37.48458,176.8436,0.4836,49
55.855835,37.48458,176.8436,0.4836,59
55.855835,37.48458,176.8436,0.4836,69
55.855835,37.48458,176.8436,0.4836,80
55.855835,37.48458,176.8436,0.4836,89
55.855835,37.48458,176.8436,0.4836,99
55.855835,37.48458,176.8436,0.4836,110
55.855835,37.48458,176.8436,0.4836,119
55.855835,37.48458,176.8436,0.4836,129
55.855835,37.48458,176.8436,0.4836,139
55.855835,37.48458,176.8436,0.4836,150
55.855835,37.48458,176.8436,0.4836,159
55.855835,37.48458,176.8436,0.4836,169
55.855835,37.48458,176.8436,0.4836,179
55.855835,37.48458,176.8436,0.4836,189
55.855835,37.48458,176.8436,0.4836,199
55.855835,37.48458,176.8436,0.4836,209
55.855835,37.48458,176.8436,0.4836,220
55.855835,37.48458,176.8436,0.4836,229
55.855835,37.48458,176.8436,0.4836,239
55.855835,37.48458,176.8436,0.4836,249
55.855835,37.48458,176.8436,0.4836,260
55.855835,37.48458,176.8436,0.4836,269
55.855835,37.48458,176.8436,0.4836,279
55.855835,37.48458,176.8436,0.4836,290
55.855835,37.48458,176.8436,0.4836,299
55.855835,37.48458,176.8436,0.4836,310
55.855835,37.48458,176.8436,0.4836,319
55.855835,37.48458,176.8436,0.4836,329
55.855835,37.48458,176.8436,0.4836,340
55.855835,37.48458,176.8436,0.4836,349
55.855835,37.48458,176.8436,0.4836,359
55.855835,37.48458,176.8436,0.4836,369
55.855835,37.48458,176.8436,0.4836,379
55.855835,37.48458,176.8436,0.4836,390
55.855835,37.48458,176.8436,0.4836,399
55.855835,37.48458,176.8436,0.4836,409
55.855835,37.48458,176.8436,0.4836,420
55.855835,37.48458,176.8436,0.4836,430
55.855835,37.48458,176.8436,0.4836,439
55.855835,37.48458,176.8436,0.4836,450
55.855835,37.48458,176.8436,0.4836,460
55.855835,37.48458,176.8436,0.4836,469
55.855835,37.48458,176.8436,0.4836,479
55.855835,37.48458,176.8436,0.4836,489
55.855835,37.48458,176.8436,0.4836,499
55.855835,37.48458,176.8436,0.4836,509
55.855835,37.48458,176.8436,0.4836,519
55.855835,37.48458,176.8436,0.4836,530
55.855835,37.48458,176.8436,0.4836,539
55.855835,37.48458,176.8436,0.4836,549
55.855835,37.48458,176.8436,0.4836,560
55.855835,37.48458,176.8436,0.4836,569
55.855835,37.48458,176.8436,0.4836,579
55.855835,37.48458,176.8436,0.4836,589
55.855835,37.48458,176.8436,0.4836,599
55.855835,37.48458,176.8436,0.4836,609
55.855835,37.48458,176.8436,0.4836,620
55.855835,37.48458,176.8436,0.4836,629
55.855835,37.48458,176.8436,0.4836,639
55.855835,37.48458,176.8436,0.4836,650
55.855835,37.48458,176.8436,0.4836,659
55.855835,37.48458,176.8436,0.4836,669
55.855835,37.48458,176.8436,0.4836,680
55.855835,37.48458,176.8436,0.4836,689
55.855835,37.48458,176.8436,0.4836,699
55.855835,37.48458,176.8436,0.4836,710
55.855835,37.48458,176.8436,0.4836,719
55.855835,37.48458,176.8436,0.4836,729
55.855835,37.48458,176.8436,0.4836,740
55.855835,37.48458,176.8436,0.4836,749
55.855835,37.48458,176.8436,0.4836,759
55.855835,37.48458,176.8436,0.4836,770
55.855835,37.48458,176.8436,0.4836,779
55.855835,37.48458,176.8436,0.4836,789
55.855835,37.48458,176.8436,0.4836,799
55.855835,37.48458,176.8436,0.4836,809
55.855835,37.48458,176.8436,0.4836,819
55.855835,37.48458,176.8436,0.4836,830
55.855835,37.48458,176.8436,0.4836,839
55.855835,37.48458,176.8436,0.4836,849
55.855835,37.48458,176.8436,0.4836,859
