Keuwl Accelerometer Data File
2021-04-25 23-01-12

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.1439849,0.100560,0.136474,9.725544,9.727021,0.998580,53.615650
0.1459846,0.093377,0.110137,9.768641,9.769709,0.846960,49.707855
0.1479844,0.076617,0.079011,9.797373,9.797992,0.644070,45.881405
0.1499842,0.031126,0.023943,9.878778,9.878856,0.228141,37.568592
0.1519840,0.011971,-0.004789,9.900327,9.900335,0.076617,338.198578
0.1539837,-0.011971,-0.057463,9.890749,9.890924,0.340349,258.231720
0.1559834,-0.019154,-0.081405,9.850046,9.850401,0.486180,256.759491
0.1579832,-0.019154,-0.102954,9.838076,9.838633,0.609736,259.460815
0.1599829,-0.021548,-0.158022,9.802161,9.803459,0.932302,262.234833
0.1619827,-0.028731,-0.196331,9.771035,9.773049,1.163316,261.674347
0.1639824,-0.035914,-0.205908,9.756670,9.758908,1.227167,260.106079
0.1659821,-0.062251,-0.217879,9.778218,9.780844,1.327512,254.054611
0.1679819,-0.090982,-0.234639,9.790190,9.793424,1.472463,248.805939
0.1699816,-0.107742,-0.296890,9.811738,9.816820,1.843768,250.054001
0.1719814,-0.136474,-0.363930,9.802161,9.809864,2.270727,249.443954
0.1739811,-0.165205,-0.397450,9.802161,9.811606,2.514272,247.429169
0.1759808,-0.198725,-0.440547,9.783007,9.794937,2.828193,245.720490
0.1779806,-0.222668,-0.488432,9.775824,9.790550,3.142986,245.492599
0.1799803,-0.234639,-0.505192,9.790190,9.806023,3.256361,245.087250
0.1819800,-0.263370,-0.526740,9.826104,9.843736,3.429768,243.434952
0.1839798,-0.282524,-0.538712,9.881172,9.899879,3.522756,242.325485
0.1859796,-0.287313,-0.536318,9.893144,9.911835,3.519197,241.821411
0.1879793,-0.260976,-0.495615,9.893144,9.908988,3.240572,242.230057
0.1899790,-0.256187,-0.469278,9.897932,9.912361,3.091868,241.369064
0.1919788,-0.244216,-0.435758,9.866806,9.879442,2.898202,240.732010
0.1939785,-0.234639,-0.356747,9.838076,9.847338,2.485222,236.666351
0.1959782,-0.225062,-0.320833,9.835681,9.843486,2.281819,234.950623
0.1979780,-0.208302,-0.239427,9.809344,9.814477,1.853085,228.976730
0.1999778,-0.198725,-0.162811,9.780613,9.783987,1.504802,219.326981
0.2019775,-0.208302,-0.134079,9.785401,9.788536,1.450099,212.768494
0.2039772,-0.196331,-0.074223,9.797373,9.799621,1.227167,200.709030
0.2059770,-0.184359,-0.011971,9.792584,9.794327,1.080827,183.715286
0.2079767,-0.174782,0.023943,9.797373,9.798961,1.031545,172.199814
0.2099764,-0.165205,0.069434,9.787795,9.789435,1.048852,157.203476
0.2119762,-0.148445,0.090982,9.780613,9.782163,1.019908,148.495728
0.2139760,-0.134079,0.126897,9.768641,9.770386,1.082636,136.576553
0.2159758,-0.107742,0.150839,9.792584,9.794338,1.084262,125.537682
0.2179755,-0.095771,0.167599,9.816526,9.818424,1.126570,119.744881
0.2199752,-0.076617,0.177176,9.842864,9.844757,1.123613,113.385223
0.2219750,-0.033520,0.198725,9.833286,9.835352,1.174365,99.574226
