ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),ATMOSPHERIC PRESSURE (hPa),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.26337,0.114925,9.804555,0.138291,0.106822,9.805093,-0.020873,0.006662,-0.015521,141.78,-18.42,140.52,261.6469,-0.6287,-0.8108,1002.8901,55.81401,37.500248,206.5155,NaN,,0.0,6.0,,21 / 26,,13,2021-05-11 18:52:05:812
0.275342,0.095771,9.850046,0.140179,0.105872,9.805077,-0.025149,0.013992,-0.008801,141.6,-18.42,140.4,261.6469,-0.6287,-0.8108,1002.8901,55.81401,37.500248,206.5155,NaN,,0.0,6.0,,21 / 26,,23,2021-05-11 18:52:05:822
0.203513,0.126897,9.864412,0.147246,0.102028,9.805014,-0.020262,0.009106,-0.01491,141.36,-18.78,140.64,261.5914,-0.6186,-0.8191,1002.8901,55.81401,37.500248,206.5155,NaN,,0.0,6.0,,21 / 26,,33,2021-05-11 18:52:05:832
0.203513,0.126897,9.864412,0.147246,0.102028,9.805014,-0.006823,0.006662,-0.017353,141.36,-18.78,140.64,261.5914,-0.6186,-0.8191,1002.8894,55.81401,37.500248,206.5155,NaN,,0.0,6.0,,21 / 26,,43,2021-05-11 18:52:05:842
0.141262,0.179571,9.780613,0.154247,0.102085,9.804905,0.004783,-0.01594,-0.021019,141.54,-19.38,140.64,261.5914,-0.6186,-0.8191,1002.8894,55.81401,37.500248,206.5155,NaN,,0.0,6.0,,21 / 26,,53,2021-05-11 18:52:05:852
0.105348,0.208302,9.809344,0.154247,0.102085,9.804905,0.013946,-0.007999,-0.024073,141.54,-19.38,140.64,261.5914,-0.6186,-0.8191,1002.8894,55.81401,37.500248,206.5155,NaN,,0.0,6.0,,21 / 26,,63,2021-05-11 18:52:05:862
0.112531,0.093377,9.682447,0.159498,0.110357,9.804731,-0.001936,0.007884,-0.029571,141.66,-19.2,141.66,261.6546,-0.5964,-0.9013,1002.8894,55.81401,37.500248,206.5155,NaN,,0.0,6.0,,21 / 26,,73,2021-05-11 18:52:05:872
0.062251,0.019154,9.713573,0.159498,0.110357,9.804731,-0.027593,0.00483,-0.025295,141.66,-19.2,141.66,261.6546,-0.5964,-0.9013,1002.8894,55.81401,37.500248,206.5155,NaN,,0.0,6.0,,21 / 26,,83,2021-05-11 18:52:05:882
0.062251,0.019154,9.713573,0.157179,0.111352,9.804758,-0.043475,0.012771,-0.020408,140.82,-18.84,141.6,261.6546,-0.5964,-0.9013,1002.8894,55.81401,37.500248,206.5155,NaN,,0.0,6.0,,21 / 26,,93,2021-05-11 18:52:05:892
0.047885,0.007183,9.826104,0.157179,0.111352,9.804758,-0.043475,0.012771,-0.020408,140.82,-18.84,141.6,261.6546,-0.5964,-0.9013,1002.8894,55.81401,37.500248,206.5155,NaN,,0.0,6.0,,21 / 26,,103,2021-05-11 18:52:05:902
0.126897,0.043097,9.957788,0.14972,0.100038,9.804997,-0.044086,0.007884,-0.012467,141.18,-18.9,141.06,261.5432,-0.6506,-0.9184,1002.8894,55.81401,37.500248,206.5155,NaN,,0.0,6.0,,21 / 26,,113,2021-05-11 18:52:05:912
0.215485,0.06704,9.957788,0.14972,0.100038,9.804997,-0.009267,-0.011664,-0.013077,141.18,-18.9,141.06,261.5432,-0.6506,-0.9184,1002.8894,55.81401,37.500248,206.5155,NaN,,0.0,6.0,,21 / 26,,124,2021-05-11 18:52:05:923
0.215485,0.06704,9.957788,0.146645,0.092082,9.805121,-0.009267,-0.011664,-0.013077,141.66,-18.6,140.7,261.5432,-0.6506,-0.9184,1002.8894,55.81401,37.500248,206.5155,NaN,,0.0,6.0,,21 / 26,,133,2021-05-11 18:52:05:932
0.256187,0.110137,9.929058,0.146645,0.092082,9.805121,0.001729,-0.023881,-0.019797,141.66,-18.6,140.7,261.5432,-0.6506,-0.9184,1002.8894,55.81401,37.500248,206.5155,NaN,,0.0,6.0,,21 / 26,,143,2021-05-11 18:52:05:942
0.232245,0.095771,9.897932,0.15459,0.09161,9.805003,0.013946,-0.032433,-0.020408,141.18,-18.84,140.28,261.6712,-0.538,-0.8568,1002.8894,55.81401,37.500248,206.5155,NaN,,0.0,6.0,,21 / 26,,153,2021-05-11 18:52:05:952
